"Nombre de Archivo: liq 319 2022-mar-25_2022-abr-10 REF.xls"
"Fecha de Creaccion de Registro: 12/4/2022 19:17:03"
"Periodo de liquidacion: 25/mar/2022->10/abr/2022"
"Registros de Conciliacion:"
"CL-ALBA-0319-22 CAMISETA"
"-:CL-ALBA-0319-22 CAMISETA,13,38"
"-:3190050477,CL-ALBA-0319-22 CAMISETA CORTA NEGRO T.14,7"
"-:3190050478,CL-ALBA-0319-22 CAMISETA CORTA NEGRO T.16,10"
"-:3190050479,CL-ALBA-0319-22 CAMISETA CORTA NEGRO T.18,9"
"-:3190050480,CL-ALBA-0319-22 CAMISETA CORTA NEGRO T.20,12"
"CL-ALBA-0320-22 CAMISETA"
"-:CL-ALBA-0320-22 CAMISETA,18,23"
"-:3190050461,CL-ALBA-0320-22 CAMISETA CORTA NEGRO T.14,6"
"-:3190050462,CL-ALBA-0320-22 CAMISETA CORTA NEGRO T.16,6"
"-:3190050463,CL-ALBA-0320-22 CAMISETA CORTA NEGRO T.18,5"
"-:3190050464,CL-ALBA-0320-22 CAMISETA CORTA NEGRO T.20,6"
"CL-ALBA-0321-22 CAMISETA"
"-:CL-ALBA-0321-22 CAMISETA,23,30"
"-:3190050453,CL-ALBA-0321-22 CAMISETA CORTA AZUL MARINO T.14,8"
"-:3190050454,CL-ALBA-0321-22 CAMISETA CORTA AZUL MARINO T.16,10"
"-:3190050455,CL-ALBA-0321-22 CAMISETA CORTA AZUL MARINO T.18,5"
"-:3190050456,CL-ALBA-0321-22 CAMISETA CORTA AZUL MARINO T.20,7"
"CL-ALBA-0322-22 CAMISETA"
"-:CL-ALBA-0322-22 CAMISETA,28,28"
"-:3190050473,CL-ALBA-0322-22 CAMISETA CORTA ROJO T.14,6"
"-:3190050474,CL-ALBA-0322-22 CAMISETA CORTA ROJO T.16,8"
"-:3190050475,CL-ALBA-0322-22 CAMISETA CORTA ROJO T.18,9"
"-:3190050476,CL-ALBA-0322-22 CAMISETA CORTA ROJO T.20,5"
"CL-ALBA-0323-22 CAMISETA"
"-:CL-ALBA-0323-22 CAMISETA,33,13"
"-:3190050445,CL-ALBA-0323-22 CAMISETA CORTA VERDE MILITAR T.14,3"
"-:3190050446,CL-ALBA-0323-22 CAMISETA CORTA VERDE MILITAR T.16,3"
"-:3190050447,CL-ALBA-0323-22 CAMISETA CORTA VERDE MILITAR T.18,3"
"-:3190050448,CL-ALBA-0323-22 CAMISETA CORTA VERDE MILITAR T.20,4"
"CL-ALBA-0324-22 CAMISETA"
"-:CL-ALBA-0324-22 CAMISETA,38,28"
"-:3190050469,CL-ALBA-0324-22 CAMISETA CORTA PALO ROSA T.14,9"
"-:3190050470,CL-ALBA-0324-22 CAMISETA CORTA PALO ROSA T.16,8"
"-:3190050471,CL-ALBA-0324-22 CAMISETA CORTA PALO ROSA T.18,5"
"-:3190050472,CL-ALBA-0324-22 CAMISETA CORTA PALO ROSA T.20,6"
"CL-ALBA-0325-22 CAMISETA"
"-:CL-ALBA-0325-22 CAMISETA,43,38"
