"Nombre de Archivo: liq 319 2022-feb-11_2022-feb-24 REF.xls"
"Fecha de Creaccion de Registro: 25/02/2022 17:28:37"
"Periodo de liquidacion: 11/feb/2022->24/feb/2022"
"Registros de Conciliacion:"
"CT-ALBA-0101-22 CAMISETA"
"-:CT-ALBA-0101-22 CAMISETA,13,38"
"-:3190050965,CT-ALBA-0101-22 CAMISETA CORTA AMARILLO T.14,7"
"-:3190050966,CT-ALBA-0101-22 CAMISETA CORTA AMARILLO T.16,12"
"-:3190050967,CT-ALBA-0101-22 CAMISETA CORTA AMARILLO T.18,10"
"-:3190050968,CT-ALBA-0101-22 CAMISETA CORTA AMARILLO T.20,9"
"CT-ALBA-0102-22 CAMISETA"
"-:CT-ALBA-0102-22 CAMISETA,18,45"
"-:3190050969,CT-ALBA-0102-22 CAMISETA CORTA NEGRO T.14,6"
"-:3190050970,CT-ALBA-0102-22 CAMISETA CORTA NEGRO T.16,14"
"-:3190050971,CT-ALBA-0102-22 CAMISETA CORTA NEGRO T.18,10"
"-:3190050972,CT-ALBA-0102-22 CAMISETA CORTA NEGRO T.20,15"
"CT-ALBA-0103-22 CAMISETA"
"-:CT-ALBA-0103-22 CAMISETA,23,28"
"-:3190050973,CT-ALBA-0103-22 CAMISETA CORTA CELESTE T.14,5"
"-:3190050974,CT-ALBA-0103-22 CAMISETA CORTA CELESTE T.16,9"
"-:3190050975,CT-ALBA-0103-22 CAMISETA CORTA CELESTE T.18,9"
"-:3190050976,CT-ALBA-0103-22 CAMISETA CORTA CELESTE T.20,5"
"CT-ALBA-0104-22 CAMISETA"
"-:CT-ALBA-0104-22 CAMISETA,28,37"
"-:3190050173,CT-ALBA-0104-22 CAMISETA CORTA PALO ROSA T.14,8"
"-:3190050174,CT-ALBA-0104-22 CAMISETA CORTA PALO ROSA T.16,13"
"-:3190050175,CT-ALBA-0104-22 CAMISETA CORTA PALO ROSA T.18,9"
"-:3190050176,CT-ALBA-0104-22 CAMISETA CORTA PALO ROSA T.20,7"
"CT-ALBA-0105-22 CAMISETA"
"-:CT-ALBA-0105-22 CAMISETA,33,40"
"-:3190050193,CT-ALBA-0105-22 CAMISETA CORTA BEIGE T.14,10"
"-:3190050194,CT-ALBA-0105-22 CAMISETA CORTA BEIGE T.16,7"
