"Nombre de Archivo: liq 319 2022-feb-25_2022-mar-10 REF.xls"
"Fecha de Creaccion de Registro: 14/03/2022 11:00:14"
"Periodo de liquidacion: 25/feb/2022->10/mar/2022"
"Registros de Conciliacion:"
"CL-ALICE-22 CAMISETA"
"-:CL-ALICE-22 CAMISETA,27,45"
"-:3190050309,CL-ALICE-22 CAMISETA KIMONO MOSTAZA T.P,2"
"-:3190050310,CL-ALICE-22 CAMISETA KIMONO MOSTAZA T.M,6"
"-:3190050311,CL-ALICE-22 CAMISETA KIMONO MOSTAZA T.G,4"
"-:3190050312,CL-ALICE-22 CAMISETA KIMONO MOSTAZA T.EG,3"
"-:3190050313,CL-ALICE-22 CAMISETA KIMONO NEGRO T.P,3"
"-:3190050314,CL-ALICE-22 CAMISETA KIMONO NEGRO T.M,2"
"-:3190050315,CL-ALICE-22 CAMISETA KIMONO NEGRO T.G,2"
"-:3190050316,CL-ALICE-22 CAMISETA KIMONO NEGRO T.EG,7"
"-:3190050317,CL-ALICE-22 CAMISETA KIMONO TERRACOTA T.P,1"
"-:3190050318,CL-ALICE-22 CAMISETA KIMONO TERRACOTA T.M,1"
"-:3190050319,CL-ALICE-22 CAMISETA KIMONO TERRACOTA T.G,2"
"-:3190050320,CL-ALICE-22 CAMISETA KIMONO TERRACOTA T.EG,1"
"-:3190051294,CL-ALICE-22 CAMISETA KIMONO AZUL MARINO T.M,2"
"-:3190051295,CL-ALICE-22 CAMISETA KIMONO AZUL MARINO T.G,3"
"-:3190051297,CL-ALICE-22 CAMISETA KIMONO PALO ROSA T.P,1"
"-:3190051298,CL-ALICE-22 CAMISETA KIMONO PALO ROSA T.M,2"
"-:3190051299,CL-ALICE-22 CAMISETA KIMONO PALO ROSA T.G,1"
"-:3190051300,CL-ALICE-22 CAMISETA KIMONO PALO ROSA T.EG,2"
"CL-GRETA-22 CAMISETA"
"-:CL-GRETA-22 CAMISETA,30,3"
"-:3190050564,CL-GRETA-22 CAMISETA KIMONO PALO ROSA T.EG,2"
"-:3190050568,CL-GRETA-22 CAMISETA KIMONO VERDE MILITAR T.EG,1"
"CL-SHIRLEY-22 CAMISETA"
"-:CL-SHIRLEY-22 CAMISETA,44,33"
"-:3190050569,CL-SHIRLEY-22 CAMISETA KIMONO NEGRO T.20,3"
"-:3190050570,CL-SHIRLEY-22 CAMISETA KIMONO NEGRO T.18,2"
"-:3190050571,CL-SHIRLEY-22 CAMISETA KIMONO NEGRO T.16,1"
"-:3190050572,CL-SHIRLEY-22 CAMISETA KIMONO NEGRO T.14,2"
"-:3190050574,CL-SHIRLEY-22 CAMISETA KIMONO AZUL MARINO T.18,1"
"-:3190050575,CL-SHIRLEY-22 CAMISETA KIMONO AZUL MARINO T.16,2"
"-:3190050577,CL-SHIRLEY-22 CAMISETA KIMONO VERDE MILITAR T.20,3"
"-:3190050578,CL-SHIRLEY-22 CAMISETA KIMONO VERDE MILITAR T.18,1"
"-:3190050580,CL-SHIRLEY-22 CAMISETA KIMONO VERDE MILITAR T.14,4"
"-:3190051177,CL-SHIRLEY-22 CAMISETA KIMONO PALO ROSA T.20,2"
"-:3190051178,CL-SHIRLEY-22 CAMISETA KIMONO PALO ROSA T.18,5"
"-:3190051179,CL-SHIRLEY-22 CAMISETA KIMONO PALO ROSA T.16,3"
"-:3190051180,CL-SHIRLEY-22 CAMISETA KIMONO PALO ROSA T.14,4"
"CT-ALBA-0101-22 CAMISETA"
"-:CT-ALBA-0101-22 CAMISETA,49,29"
"-:3190050965,CT-ALBA-0101-22 CAMISETA CORTA AMARILLO T.14,6"
"-:3190050966,CT-ALBA-0101-22 CAMISETA CORTA AMARILLO T.16,11"
"-:3190050967,CT-ALBA-0101-22 CAMISETA CORTA AMARILLO T.18,9"
"-:3190050968,CT-ALBA-0101-22 CAMISETA CORTA AMARILLO T.20,3"
"CT-ALBA-0102-22 CAMISETA"
"-:CT-ALBA-0102-22 CAMISETA,54,32"
"-:3190050969,CT-ALBA-0102-22 CAMISETA CORTA NEGRO T.14,4"
"-:3190050970,CT-ALBA-0102-22 CAMISETA CORTA NEGRO T.16,10"
"-:3190050971,CT-ALBA-0102-22 CAMISETA CORTA NEGRO T.18,9"
"-:3190050972,CT-ALBA-0102-22 CAMISETA CORTA NEGRO T.20,9"
"CT-ALBA-0103-22 CAMISETA"
"-:CT-ALBA-0103-22 CAMISETA,59,20"
"-:3190050973,CT-ALBA-0103-22 CAMISETA CORTA CELESTE T.14,3"
"-:3190050974,CT-ALBA-0103-22 CAMISETA CORTA CELESTE T.16,8"
"-:3190050975,CT-ALBA-0103-22 CAMISETA CORTA CELESTE T.18,5"
"-:3190050976,CT-ALBA-0103-22 CAMISETA CORTA CELESTE T.20,4"
"CT-ALBA-0104-22 CAMISETA"
"-:CT-ALBA-0104-22 CAMISETA,64,14"
"-:3190050173,CT-ALBA-0104-22 CAMISETA CORTA PALO ROSA T.14,3"
"-:3190050174,CT-ALBA-0104-22 CAMISETA CORTA PALO ROSA T.16,1"
"-:3190050175,CT-ALBA-0104-22 CAMISETA CORTA PALO ROSA T.18,5"
"-:3190050176,CT-ALBA-0104-22 CAMISETA CORTA PALO ROSA T.20,5"
"CT-ALBA-0105-22 CAMISETA"
"-:CT-ALBA-0105-22 CAMISETA,69,18"
"-:3190050193,CT-ALBA-0105-22 CAMISETA CORTA BEIGE T.14,3"
"-:3190050194,CT-ALBA-0105-22 CAMISETA CORTA BEIGE T.16,5"
"-:3190050195,CT-ALBA-0105-22 CAMISETA CORTA BEIGE T.18,4"
"-:3190050196,CT-ALBA-0105-22 CAMISETA CORTA BEIGE T.20,6"
"CT-ALBA-0106-22 CAMISETA"
"-:CT-ALBA-0106-22 CAMISETA,74,21"
"-:3190050177,CT-ALBA-0106-22 CAMISETA CORTA NEGRO T.14,4"
"-:3190050178,CT-ALBA-0106-22 CAMISETA CORTA NEGRO T.16,5"
"-:3190050179,CT-ALBA-0106-22 CAMISETA CORTA NEGRO T.18,4"
"-:3190050180,CT-ALBA-0106-22 CAMISETA CORTA NEGRO T.20,8"
"CT-ALBA-0107-22 CAMISETA"
"-:CT-ALBA-0107-22 CAMISETA,79,19"
